Time,Symbol,Side,Price,Qty,Route,Account,LiqType,ECNFee,P / L,
15:47:29,CWD,B,3.75,1013,PDQMID,1PL10090, ,2.026,-151.81,
15:46:57,CWD,SS,3.6,810,PDQMID,1PL10090, ,1.62,0.00,
15:46:57,CWD,SS,3.6002,93,PDQMID,1PL10090,R,0.186,0.00,
15:46:57,CWD,SS,3.6002,100,PDQMID,1PL10090,R,0.2,0.00,
15:46:57,CWD,SS,3.61,10,PDQMID,1PL10090, ,0.02,0.00,
15:40:23,CWD,B,3.3,4076,NSDQ,1PL10090,2,14.266,-729.69,
09:31:21,CWD,SS,3.1405,3311,PDQMID,1PL10090,R,6.622,0.00,
08:58:57,CWD,SS,3.01,300,PDQMID,1PL10090,R,0.6,-0.00,
08:58:57,CWD,SS,3.01,300,PDQMID,1PL10090,R,0.6,0.00,
08:58:57,CWD,SS,3.01,207,PDQMID,1PL10090,R,0.414,0.00,
08:58:57,CWD,SS,3.01,300,PDQMID,1PL10090,R,0.6,0.00,
09:35:26,CWD,SS,2.9905,653,PDQMID,1PL10090,R,1.306,0.00,
09:35:26,CWD,SS,2.9905,36,PDQMID,1PL10090,R,0.072,0.00,
09:35:26,CWD,SS,2.9905,51,PDQMID,1PL10090,R,0.102,0.00,
09:30:10,CWD,B,3.45,110,NSDQ,1PL10090,2,0.385,-50.86,
09:30:10,CWD,B,3.439,1000,NSDQ,1PL10090,3,3.5,-451.35,
08:53:53,CWD,B,3.16,208,PDQMID,1PL10090,R,0.416,-40.49,
08:53:53,CWD,B,3.16,300,PDQMID,1PL10090, ,0.6,-58.40,
08:53:53,CWD,B,3.16,300,PDQMID,1PL10090,R,0.6,-58.40,
08:53:53,CWD,B,3.16,300,PDQMID,1PL10090,R,0.6,-58.40,
09:34:58,CWD,SS,3.2,541,PDQMID,1PL10090,R,1.082,0.00,
09:34:58,CWD,SS,3.2002,200,PDQMID,1PL10090,R,0.4,0.00,
09:34:58,CWD,SS,3.2005,200,PDQMID,1PL10090,R,0.4,0.00,
09:34:58,CWD,SS,3.2005,200,PDQMID,1PL10090,R,0.4,0.00,
09:34:58,CWD,SS,3.2005,100,PDQMID,1PL10090,R,0.2,0.00,
09:34:58,CWD,SS,3.2005,100,PDQMID,1PL10090,R,0.2,0.00,
09:34:58,CWD,SS,3.2,1025,PDQMID,1PL10090, ,2.05,0.00,
09:34:57,CWD,SS,3.21,100,PDQMID,1PL10090, ,0.2,0.00,
09:34:57,CWD,SS,3.21,100,PDQMID,1PL10090, ,0.2,0.00,
09:32:43,CWD,B,3.3295,1145,PDQMID,1PL10090,R,2.29,-260.20,
09:32:43,CWD,B,3.3295,1151,PDQMID,1PL10090,R,2.302,-261.56,
09:32:43,CWD,B,3.3295,1879,PDQMID,1PL10090,R,3.758,-427.00,
09:32:43,CWD,B,3.3295,16,PDQMID,1PL10090,R,0.032,-3.64,
09:32:43,CWD,B,3.34,25,PDQMID,1PL10090, ,0.05,-5.94,
09:32:43,CWD,B,3.34,200,PDQMID,1PL10090, ,0.4,-47.55,
08:43:54,CWD,SS,2.95,509,PDQMID,1PL10090, ,1.018,0.00,
08:43:54,CWD,SS,2.95,300,PDQMID,1PL10090,R,0.6,0.00,
08:43:54,CWD,SS,2.95,275,PDQMID,1PL10090,R,0.55,0.00,
09:52:16,CWD,SS,2.98,467,NSDQ,1PL10090,2,1.6345,0.00,
09:52:16,CWD,SS,2.98,300,NSDQ,1PL10090,2,1.05,0.00,
09:52:16,CWD,SS,2.98,3,NSDQ,1PL10090,2,0.0105,0.00,
08:43:01,CWD,SS,2.98,1132,PDQMID,1PL10090, ,2.264,0.00,
